year;region;age;men;women
2024;01 Stockholm county;0;6553.5;6283.0
2024;01 Stockholm county;1;13340.5;12466.5
2024;01 Stockholm county;2;13358.0;12887.0
2024;01 Stockholm county;3;14603.0;14032.0
2024;01 Stockholm county;4;14410.5;13638.0
2024;01 Stockholm county;5;14400.5;13640.5
2024;01 Stockholm county;6;14405.5;13734.0
2024;01 Stockholm county;7;14405.5;14118.0
2024;01 Stockholm county;8;15015.5;14348.5
2024;01 Stockholm county;9;15177.0;13911.0
2024;01 Stockholm county;10;15270.0;14429.0
2024;01 Stockholm county;11;15436.0;14293.5
2024;01 Stockholm county;12;15126.5;14228.0
2024;01 Stockholm county;13;15274.5;14194.0
2024;01 Stockholm county;14;15900.0;14911.0
2024;01 Stockholm county;15;15416.5;14554.0
2024;01 Stockholm county;16;15473.0;14536.0
2024;01 Stockholm county;17;15249.0;14181.5
2024;01 Stockholm county;18;15105.5;14211.5
2024;01 Stockholm county;19;14411.5;13873.0
2024;01 Stockholm county;20;14263.0;13380.0
2024;01 Stockholm county;21;13416.0;12422.0
2024;01 Stockholm county;22;12978.0;12194.5
2024;01 Stockholm county;23;12814.0;11988.5
2024;01 Stockholm county;24;13803.5;12749.0
2024;01 Stockholm county;25;15296.0;13569.0
2024;01 Stockholm county;26;15029.0;14645.0
2024;01 Stockholm county;27;15420.0;15425.0
2024;01 Stockholm county;28;16245.0;16843.5
2024;01 Stockholm county;29;17967.0;17644.0
2024;01 Stockholm county;30;19355.0;19215.5
2024;01 Stockholm county;31;19726.5;19751.0
2024;01 Stockholm county;32;20500.5;20260.5
2024;01 Stockholm county;33;20915.0;20316.0
2024;01 Stockholm county;34;21190.5;20989.0
2024;01 Stockholm county;35;20745.5;20057.0
2024;01 Stockholm county;36;20374.0;19653.0
2024;01 Stockholm county;37;19450.5;18667.5
2024;01 Stockholm county;38;19166.5;18264.0
2024;01 Stockholm county;39;18828.5;17726.5
2024;01 Stockholm county;40;18376.5;17304.5
2024;01 Stockholm county;41;17974.0;16968.5
2024;01 Stockholm county;42;18173.0;16772.0
2024;01 Stockholm county;43;17610.5;16665.0
2024;01 Stockholm county;44;18346.5;17247.0
2024;01 Stockholm county;45;17186.0;16429.0
2024;01 Stockholm county;46;16364.5;15861.0
2024;01 Stockholm county;47;16361.5;15681.5
2024;01 Stockholm county;48;16592.0;15926.5
2024;01 Stockholm county;49;16798.5;16189.0
2024;01 Stockholm county;50;17425.5;16897.5
2024;01 Stockholm county;51;17032.5;16674.5
2024;01 Stockholm county;52;17215.5;16528.5
2024;01 Stockholm county;53;16601.5;16325.0
2024;01 Stockholm county;54;15842.5;15565.0
2024;01 Stockholm county;55;15079.0;14882.0
2024;01 Stockholm county;56;15197.0;15275.0
2024;01 Stockholm county;57;15701.0;15383.5
2024;01 Stockholm county;58;15832.5;15631.0
2024;01 Stockholm county;59;15654.5;15538.0
2024;01 Stockholm county;60;15736.5;15464.5
2024;01 Stockholm county;61;14248.5;14108.0
2024;01 Stockholm county;62;13424.5;13486.5
2024;01 Stockholm county;63;12646.0;12552.0
2024;01 Stockholm county;64;12063.0;12213.0
2024;01 Stockholm county;65;11657.5;11668.0
2024;01 Stockholm county;66;11308.0;11560.5
2024;01 Stockholm county;67;11156.0;11312.5
2024;01 Stockholm county;68;10850.5;10984.0
2024;01 Stockholm county;69;10084.0;10585.5
2024;01 Stockholm county;70;9660.0;10092.5
2024;01 Stockholm county;71;9420.0;10040.5
2024;01 Stockholm county;72;9215.0;9920.5
2024;01 Stockholm county;73;8498.5;9721.5
2024;01 Stockholm county;74;8872.0;9802.0
2024;01 Stockholm county;75;8649.0;10022.5
2024;01 Stockholm county;76;8704.0;10365.0
2024;01 Stockholm county;77;8779.5;10448.0
2024;01 Stockholm county;78;8613.0;10249.5
2024;01 Stockholm county;79;8420.0;9963.5
2024;01 Stockholm county;80;8008.0;9604.0
2024;01 Stockholm county;81;7181.5;8476.5
2024;01 Stockholm county;82;6175.0;7593.0
2024;01 Stockholm county;83;4960.5;6371.0
2024;01 Stockholm county;84;4401.5;5485.0
2024;01 Stockholm county;85;3867.5;5174.0
2024;01 Stockholm county;86;3317.5;4744.0
2024;01 Stockholm county;87;2758.5;4043.5
2024;01 Stockholm county;88;2351.0;3660.5
2024;01 Stockholm county;89;1968.0;3040.0
2024;01 Stockholm county;90;1469.5;2671.0
2024;01 Stockholm county;91;1294.5;2245.5
2024;01 Stockholm county;92;1011.0;2094.5
2024;01 Stockholm county;93;804.0;1749.5
2024;01 Stockholm county;94;596.0;1476.0
2024;01 Stockholm county;95;424.5;1148.5
2024;01 Stockholm county;96;309.5;933.5
2024;01 Stockholm county;97;234.5;715.0
2024;01 Stockholm county;98;138.0;514.0
2024;01 Stockholm county;99;88.5;384.5
2024;01 Stockholm county;100+;136.0;725.0
